Einkommensklasse,Anzahl Personen,Durchschnittliches Einkommen,Durchschnittlicher Steuerzins
"unter CHF 20'000",185000,12000,0.02
"CHF 20'000–29'999",210000,25000,0.035
"CHF 30'000–39'999",225000,35000,0.055
"CHF 40'000–49'999",240000,45000,0.075
"CHF 50'000–59'999",255000,55000,0.09
"CHF 60'000–69'999",250000,65000,0.105
"CHF 70'000–79'999",235000,75000,0.12
"CHF 80'000–89'999",220000,85000,0.135
"CHF 90'000–99'999",205000,95000,0.15
"CHF 100'000–119'999",280000,110000,0.165
"CHF 120'000–139'999",190000,130000,0.18
"CHF 140'000–159'999",135000,150000,0.195
"CHF 160'000–179'999",95000,170000,0.21
"CHF 180'000–199'999",70000,190000,0.225
"CHF 200'000–249'999",95000,225000,0.24
"CHF 250'000–299'999",52000,275000,0.255
"CHF 300'000–399'999",36000,350000,0.27
"CHF 400'000–499'999",18000,450000,0.285
"CHF 500'000–749'999",12000,625000,0.30
"CHF 750'000–999'999",5500,875000,0.315
"CHF 1'000'000–1'499'999",3500,1250000,0.33
"CHF 1'500'000–1'999'999",1500,1750000,0.345
"CHF 2'000'000–4'999'999",1200,3000000,0.36
"CHF 5'000'000–9'999'999",350,7000000,0.375
"CHF 10'000'000+",80,15000000,0.39
